,Name,key,Style,Style Key,Brewery,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,brewery_review_exists,Beer Name (Full),beer_review_exists
1085,Ovila Abbey Barrel Aged Dubbel,536,Dubbel,14,Sierra Nevada Brewing Co.,"Notes:This Abbey Dubbel was aged in a blend of red wine and bourbon barrels to add a new level of complexity to an already beguiling brew. Rich malt flavors of burnt sugar and caramel blend seamlessly with bright fruit notes from the wine barrels, while the bourbon oak lends a mellow hint of vanilla.	",8.5,4.08,15,30,22,42,60,17,99,36,0,56,15,26,91,1,Sierra Nevada Brewing Co. Ovila Abbey Dubbel,1
1086,Solitude,537,Dubbel,14,Brewery Vivant,Notes:,6.0,3.65,15,30,14,46,26,18,129,72,0,96,24,21,74,1,Brewery Vivant Solitude,1
1087,Big Bison Ale,538,Dubbel,14,Crown Valley Brewing & Distilling Co.,"Notes:Great lengths were taken to ensure its authentic characteristics. German and Belgian malts, noble hops and a unique yeast strain are all necessary to produce this unique ale. It is aged for one month; beer that tends to please red wine drinkers and is definitely not for the novice beer drinker.23 IBU	",6.9,3.73,15,30,13,48,25,18,97,29,0,53,20,9,76,1,Crown Valley Brewing & Distilling Co. Big Bison Ale,1
1088,St. Vincent's Dubbel,539,Dubbel,14,Captain Lawrence Brewing Co.,Notes:,8.0,3.86,15,30,20,65,32,13,95,66,0,67,25,30,97,1,Captain Lawrence Brewing Co. St. Vincent's Dubbel,1
1089,Brother Joseph's Belgian Dubbel,540,Dubbel,14,Straight To Ale,"Notes:Maimed in an accident that left him with a hunched back, Brother Joseph Zoettl worked in the St. Bernard Abbey power plant shoveling coal. In his spare time, Brother Joseph used found objects such as marbles and chunks of concrete and tile to build miniature shrines and buildings on the Abbey grounds. Over 40 years, he created 125 different models and replicas. Today, the Ave Maria Grotto covers three acres and is world-renowned as both a fun roadside attraction and an awe-inspiring collection of folk art. We have named our Belgian dubbel after Brother Joseph as a testament to his perseverance, his hard work, and his indomitable spirit. A full-flavored abbey-style ale with a complex taste and aroma, Brother Joseph’s Dubbel is filled with specialty malt and dark fruit character.	",8.0,3.77,15,30,10,29,14,17,96,25,0,63,24,21,66,1,Straight To Ale Brother Joseph's Belgian Dubbel,1
1091,Dark Abby,542,Dubbel,14,Devils Backbone Brewing Company,"Notes:Meet Abby, Azrael’s darker twin. This Belgian beauty is mysteriously alluring with a sultry flavor combination of brown sugar, plum and spices in a dark burgundy hue. Abby has a deep, rich flavor, and a serious strength but like her sister, hides behind a deceptively light fruity finish. On the surface she’s the sweetest girl you’ll ever meet, but one taste you’ll be trapped in her darkly alluring web.DARK ABBY FACTS:Alcohol by Volume: 7.5%Hop Bitterness (IBUs): 18Malts: Pilsner, Dark Munich, Honey, Dark CrystalHops: SaazSugar & Spice: Turbinado Sugar, Sorghum Syrup, Secret Spice Mix	",7.5,3.64,15,30,12,32,31,16,103,35,0,76,19,28,58,1,Devils Backbone Brewing Company Dark Abbey,1
1092,St Martin Brune,543,Dubbel,14,Brasserie De Brunehaut,Notes:,8.0,3.67,15,30,11,50,26,20,105,41,0,64,25,24,81,1,Brasserie De Brunehaut St Martin Brune,1
1093,Dominus Vobiscum Double,544,Dubbel,14,Microbrasserie Charlevoix,Notes:,8.0,3.96,15,30,22,49,39,27,119,34,0,62,30,37,73,1,Microbrasserie Charlevoix Dominus Vobiscum Double,1
1094,Evil 8° Belgian-Style Dubbel Ale,545,Dubbel,14,Blue Mountain Brewery,Notes:,7.7,3.8,15,30,5,54,24,23,136,37,1,70,20,49,68,1,Blue Mountain Brewery Evil 8° Belgian-Style Dubbel Ale,1
1096,Sterkens Dubbel Ale,547,Dubbel,14,Brouwerij Sterkens N.V.,Notes:,6.9,3.74,15,30,8,55,31,16,133,36,0,81,32,22,80,1,Brouwerij Sterkens N.V. Sterkens Dubbel Ale,1
1098,Natte,549,Dubbel,14,Brouwerij 't IJ,"Notes:After the ‘Zatte’, this is the oldest beer from Brouwerij ‘t IJ. Natte is classed as a ‘dubbel’, a Belgian category of smooth, dark beers. Because we partly use dark malt, Natte has a reddish-brown colour and a smooth, roasted flavour with earthy tones of brown sugar, nuts and plums. Completed with slightly bitter hops, this is a nicely balanced beer and one of the brewery’s classics.	",6.5,3.62,15,30,16,40,16,29,70,45,0,52,39,29,71,1,Brouwerij 't IJ Natte,1
1099,Green's Endeavour Dubbel Dark Ale,550,Dubbel,14,Green's Gluten Free Beers,Notes:,7.0,2.97,15,30,13,42,13,13,120,55,0,76,27,16,64,1,Green's Gluten Free Beers Green's Endeavour,1
